,artists,album_name,track_name,popularity,explicit,danceability,energy,speechiness,instrumentalness,tempo,track_genre,duration(mm:ss),year,title,category,nominee
63,Boris Brejcha;Laura Korinth,Gravity,Gravity,63,False,Bailable,0.616,0.0691,0.769,125.023,techno,03:36,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
64,Boris Brejcha;Laura Korinth,Gravity,Gravity,63,False,Bailable,0.616,0.0691,0.769,125.023,techno,03:36,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
65,Boris Brejcha;Laura Korinth,Space Diver,Gravity,44,False,Bailable,0.62,0.0749,0.724,125.004,techno,09:24,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
66,Boris Brejcha;Laura Korinth,Space Diver,Gravity,44,False,Bailable,0.62,0.0749,0.724,125.004,techno,09:24,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
67,Hooverphonic,The Best of Hooverphonic,Gravity,18,False,Poco bailable,0.574,0.0263,0.0,137.898,trip-hop,03:06,2012,55th Annual GRAMMY Awards  (2012),Best Gospel Album,True
68,Hooverphonic,The Best of Hooverphonic,Gravity,18,False,Poco bailable,0.574,0.0263,0.0,137.898,trip-hop,03:06,2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,True
69,Bailey Jehl,You're Still The One,You're Still The One,56,False,Poco bailable,0.473,0.034,0.0,119.698,acoustic,02:57,1998,41st Annual GRAMMY Awards  (1998),Best Female Country Vocal Performance,True
70,Bailey Jehl,You're Still The One,You're Still The One,56,False,Poco bailable,0.473,0.034,0.0,119.698,chill,02:57,1998,41st Annual GRAMMY Awards  (1998),Best Female Country Vocal Performance,True
71,Shania Twain,Los Clásicos del Pop 90s,You're Still The One,3,False,Poco bailable,0.54,0.0305,0.0,133.774,country,03:32,1998,41st Annual GRAMMY Awards  (1998),Best Female Country Vocal Performance,True
72,Shania Twain,Coffee Break,You're Still The One,0,False,Poco bailable,0.54,0.0305,0.0,133.774,country,03:32,1998,41st Annual GRAMMY Awards  (1998),Best Female Country Vocal Performance,True
